No,ENZY_ACC_ID,ENZYME,E3_GN,E3_Alias,E3_PN,SUB_ACC_ID,SUBSTRATE,SUB_GENE,SUB_Alias,SUB_PN,E3_ORGANISM,SUB_ORGANISM,PMID
23,Q969Q1,TRI63_HUMAN,TRIM63,TRIM63~~IRF~~MURF1~~RNF28~~SMRZ,E3 ubiquitin-protein ligase TRIM63 ~~Iris RING finger protein~~Muscle-specific RING finger protein 1~~MuRF-1~~MuRF1~~RING finger protein 28~~RING-type E3 ubiquitin transferase TRIM63~~Striated muscle RING zinc finger protein~~Tripartite motif-containing protein 63,P19429,TNNI3_HUMAN,TNNI3,TNNI3~~TNNC1,"Troponin I, cardiac muscle ~~Cardiac troponin I",Homo sapiens (Human),Homo sapiens (Human),15601779
24,P38398,BRCA1_HUMAN,BRCA1,BRCA1~~RNF53,Breast cancer type 1 susceptibility protein ~~RING finger protein 53~~RING-type E3 ubiquitin transferase BRCA1,P24928,RPB1_HUMAN,POLR2A,POLR2A~~POLR2,DNA-directed RNA polymerase II subunit RPB1 ~~RNA polymerase II subunit B1 ~~DNA-directed RNA polymerase II subunit A~~DNA-directed RNA polymerase III largest subunit~~RNA-directed RNA polymerase II subunit RPB1 ,Homo sapiens (Human),Homo sapiens (Human),15886201
25,Q7Z6Z7,HUWE1_HUMAN,HUWE1,HUWE1~~KIAA0312~~KIAA1578~~UREB1~~HSPC272,"E3 ubiquitin-protein ligase HUWE1 ~~ARF-binding protein 1~~ARF-BP1~~HECT, UBA and WWE domain-containing protein 1~~HECT-type E3 ubiquitin transferase HUWE1~~Homologous to E6AP carboxyl terminus homologous protein 9~~HectH9~~Large structure of UREB1~~LASU1~~Mcl-1 ubiquitin ligase E3~~Mule~~Upstream regulatory element-binding protein 1~~URE-B1~~URE-binding protein 1",Q07820,MCL1_HUMAN,MCL1,MCL1~~BCL2L3,Induced myeloid leukemia cell differentiation protein Mcl-1 ~~Bcl-2-like protein 3~~Bcl2-L-3~~Bcl-2-related protein EAT/mcl1~~mcl1/EAT,Homo sapiens (Human),Homo sapiens (Human),16213503
26,Q7Z6Z7,HUWE1_HUMAN,HUWE1,HUWE1~~KIAA0312~~KIAA1578~~UREB1~~HSPC272,"E3 ubiquitin-protein ligase HUWE1 ~~ARF-binding protein 1~~ARF-BP1~~HECT, UBA and WWE domain-containing protein 1~~HECT-type E3 ubiquitin transferase HUWE1~~Homologous to E6AP carboxyl terminus homologous protein 9~~HectH9~~Large structure of UREB1~~LASU1~~Mcl-1 ubiquitin ligase E3~~Mule~~Upstream regulatory element-binding protein 1~~URE-B1~~URE-binding protein 1",P01106,MYC_HUMAN,MYC,MYC~~BHLHE39,Myc proto-oncogene protein ~~Class E basic helix-loop-helix protein 39~~bHLHe39~~Proto-oncogene c-Myc~~Transcription factor p64,Homo sapiens (Human),Homo sapiens (Human),16269333
27,Q9UK22,FBX2_HUMAN,FBXO2,FBXO2~~FBX2,F-box only protein 2,P05556,ITB1_HUMAN,ITGB1,ITGB1~~FNRB~~MDF2~~MSK12,Integrin beta-1 ~~Fibronectin receptor subunit beta~~Glycoprotein IIa~~GPIIA~~VLA-4 subunit beta~~CD antigen CD29,Homo sapiens (Human),Homo sapiens (Human),16275327
28,Q9UNE7,CHIP_HUMAN,STUB1,STUB1~~CHIP~~PP1131,E3 ubiquitin-protein ligase CHIP ~~Antigen NY-CO-7~~CLL-associated antigen KW-8~~Carboxy terminus of Hsp70-interacting protein~~RING-type E3 ubiquitin transferase CHIP~~STIP1 homology and U box-containing protein 1,Q86WG3,ATCAY_HUMAN,ATCAY,ATCAY~~KIAA1872,Caytaxin ~~Ataxia cayman type protein~~BNIP-2-homology~~BNIP-H,Homo sapiens (Human),Homo sapiens (Human),16275660
29,O75150,BRE1B_HUMAN,RNF40,RNF40~~BRE1B~~KIAA0661,E3 ubiquitin-protein ligase BRE1B ~~BRE1-B ~~95 kDa retinoblastoma-associated protein~~RBP95~~RING finger protein 40~~RING-type E3 ubiquitin transferase BRE1B,Q16778,H2B2E_HUMAN,H2BC21,H2BC21~~H2BFQ~~HIST2H2BE,Histone H2B type 2-E ~~H2B-clustered histone 21~~Histone H2B-GL105~~Histone H2B.q~~H2B/q,Homo sapiens (Human),Homo sapiens (Human),16307923
30,Q9UK22,FBX2_HUMAN,FBXO2,FBXO2~~FBX2,F-box only protein 2,Q9UNE7,CHIP_HUMAN,STUB1,STUB1~~CHIP~~PP1131,E3 ubiquitin-protein ligase CHIP ~~Antigen NY-CO-7~~CLL-associated antigen KW-8~~Carboxy terminus of Hsp70-interacting protein~~RING-type E3 ubiquitin transferase CHIP~~STIP1 homology and U box-containing protein 1,Homo sapiens (Human),Homo sapiens (Human),16682404
31,P35226,BMI1_HUMAN,BMI1,BMI1~~PCGF4~~RNF51,Polycomb complex protein BMI-1 ~~Polycomb group RING finger protein 4~~RING finger protein 51,Q16777,H2A2C_HUMAN,H2AC20,H2AC20~~H2AFQ~~HIST2H2AC,Histone H2A type 2-C ~~H2A-clustered histone 20~~Histone H2A-GL101~~Histone H2A/q,Homo sapiens (Human),Homo sapiens (Human),16714294
32,Q96CA5,BIRC7_HUMAN,BIRC7,BIRC7~~KIAP~~LIVIN~~MLIAP~~RNF50~~UNQ5800~~PRO19607~~PRO21344,Baculoviral IAP repeat-containing protein 7 ~~Kidney inhibitor of apoptosis protein~~KIAP~~Livin~~Melanoma inhibitor of apoptosis protein~~ML-IAP~~RING finger protein 50~~RING-type E3 ubiquitin transferase BIRC7 ,Q9NR28,DBLOH_HUMAN,DIABLO,DIABLO~~SMAC,"Diablo homolog, mitochondrial ~~Direct IAP-binding protein with low pI~~Second mitochondria-derived activator of caspase~~Smac",Homo sapiens (Human),Homo sapiens (Human),16729033
33,Q9UNE7,CHIP_HUMAN,STUB1,STUB1~~CHIP~~PP1131,E3 ubiquitin-protein ligase CHIP ~~Antigen NY-CO-7~~CLL-associated antigen KW-8~~Carboxy terminus of Hsp70-interacting protein~~RING-type E3 ubiquitin transferase CHIP~~STIP1 homology and U box-containing protein 1,Q04912,RON_HUMAN,MST1R,MST1R~~PTK8~~RON,Macrophage-stimulating protein receptor ~~MSP receptor ~~CDw136~~Protein-tyrosine kinase 8~~p185-Ron~~CD antigen CD136 ,Homo sapiens (Human),Homo sapiens (Human),16740632
34,O60260,PRKN_HUMAN,PRKN,PRKN~~PARK2,E3 ubiquitin-protein ligase parkin ~~Parkin ~~Parkin RBR E3 ubiquitin-protein ligase~~Parkinson juvenile disease protein 2~~Parkinson disease protein 2,P42566,EPS15_HUMAN,EPS15,EPS15~~AF1P,Epidermal growth factor receptor substrate 15 ~~Protein Eps15~~Protein AF-1p,Homo sapiens (Human),Homo sapiens (Human),16862145
35,P46934,NEDD4_HUMAN,NEDD4,NEDD4~~KIAA0093~~NEDD4-1~~PIG53,E3 ubiquitin-protein ligase NEDD4 ~~Cell proliferation-inducing gene 53 protein~~HECT-type E3 ubiquitin transferase NEDD4~~Neural precursor cell expressed developmentally down-regulated protein 4~~NEDD-4,P51170,SCNNG_HUMAN,SCNN1G,SCNN1G,Amiloride-sensitive sodium channel subunit gamma ~~Epithelial Na+ channel subunit gamma~~ENaCG~~Gamma-ENaC~~Gamma-NaCH~~Nonvoltage-gated sodium channel 1 subunit gamma~~SCNEG,Homo sapiens (Human),Homo sapiens (Human),17013377
36,Q9Y297,FBW1A_HUMAN,BTRC,BTRC~~BTRCP~~FBW1A~~FBXW1A,F-box/WD repeat-containing protein 1A ~~E3RSIkappaB~~Epididymis tissue protein Li 2a~~F-box and WD repeats protein beta-TrCP~~pIkappaBalpha-E3 receptor subunit,Q53EL6,PDCD4_HUMAN,PDCD4,PDCD4~~H731,Programmed cell death protein 4 ~~Neoplastic transformation inhibitor protein~~Nuclear antigen H731-like~~Protein 197/15a,Homo sapiens (Human),Homo sapiens (Human),17053147
37,Q9UNE7,CHIP_HUMAN,STUB1,STUB1~~CHIP~~PP1131,E3 ubiquitin-protein ligase CHIP ~~Antigen NY-CO-7~~CLL-associated antigen KW-8~~Carboxy terminus of Hsp70-interacting protein~~RING-type E3 ubiquitin transferase CHIP~~STIP1 homology and U box-containing protein 1,P10911,MCF2_HUMAN,MCF2,MCF2~~DBL,Proto-oncogene DBL ~~Proto-oncogene MCF-2 ,Homo sapiens (Human),Homo sapiens (Human),17178836
38,Q8N3Y1,FBXW8_HUMAN,FBXW8,FBXW8~~FBW6~~FBW8~~FBX29~~FBXO29~~FBXW6,F-box/WD repeat-containing protein 8 ~~F-box and WD-40 domain-containing protein 8~~F-box only protein 29,P24385,CCND1_HUMAN,CCND1,CCND1~~BCL1~~PRAD1,G1/S-specific cyclin-D1 ~~B-cell lymphoma 1 protein~~BCL-1~~BCL-1 oncogene~~PRAD1 oncogene,Homo sapiens (Human),Homo sapiens (Human),17205132
39,Q99728,BARD1_HUMAN,BARD1,BARD1,BRCA1-associated RING domain protein 1 ~~BARD-1 ~~RING-type E3 ubiquitin transferase BARD1,P52434,RPAB3_HUMAN,POLR2H,POLR2H,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 ~~RNA polymerases I, II, and III subunit ABC3~~DNA-directed RNA polymerase II subunit H~~DNA-directed RNA polymerases I, II, and III 17.1 kDa polypeptide~~RPB17~~RPB8 homolog~~hRPB8",Homo sapiens (Human),Homo sapiens (Human),17283126
40,Q9UKV5,AMFR_HUMAN,AMFR,AMFR~~RNF45,E3 ubiquitin-protein ligase AMFR ~~Autocrine motility factor receptor~~AMF receptor~~RING finger protein 45~~RING-type E3 ubiquitin transferase AMFR~~gp78,Q15011,HERP1_HUMAN,HERPUD1,HERPUD1~~HERP~~KIAA0025~~MIF1,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein ~~Methyl methanesulfonate~~MMF-inducible fragment protein 1,Homo sapiens (Human),Homo sapiens (Human),17310145
41,Q7Z6J0,SH3R1_HUMAN,SH3RF1,SH3RF1~~KIAA1494~~POSH~~POSH1~~RNF142~~SH3MD2,E3 ubiquitin-protein ligase SH3RF1 ~~Plenty of SH3s~~Protein POSH~~RING finger protein 142~~RING-type E3 ubiquitin transferase SH3RF1~~SH3 domain-containing RING finger protein 1~~SH3 multiple domains protein 2,Q15011,HERP1_HUMAN,HERPUD1,HERPUD1~~HERP~~KIAA0025~~MIF1,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein ~~Methyl methanesulfonate~~MMF-inducible fragment protein 1,Homo sapiens (Human),Homo sapiens (Human),17420289
42,Q9UKT7,FBXL3_HUMAN,FBXL3,FBXL3~~FBL3A~~FBXL3A,F-box/LRR-repeat protein 3 ~~F-box and leucine-rich repeat protein 3A~~F-box/LRR-repeat protein 3A,Q49AN0,CRY2_HUMAN,CRY2,CRY2~~KIAA0658,Cryptochrome-2,Homo sapiens (Human),Homo sapiens (Human),17463251
43,O60260,PRKN_HUMAN,PRKN,PRKN~~PARK2,E3 ubiquitin-protein ligase parkin ~~Parkin ~~Parkin RBR E3 ubiquitin-protein ligase~~Parkinson juvenile disease protein 2~~Parkinson disease protein 2,Q9NRD5,PICK1_HUMAN,PICK1,PICK1~~PRKCABP,PRKCA-binding protein ~~Protein interacting with C kinase 1~~Protein kinase C-alpha-binding protein,Homo sapiens (Human),Homo sapiens (Human),17553932
44,Q9UNE7,CHIP_HUMAN,STUB1,STUB1~~CHIP~~PP1131,E3 ubiquitin-protein ligase CHIP ~~Antigen NY-CO-7~~CLL-associated antigen KW-8~~Carboxy terminus of Hsp70-interacting protein~~RING-type E3 ubiquitin transferase CHIP~~STIP1 homology and U box-containing protein 1,P33402,GCYA2_HUMAN,GUCY1A2,GUCY1A2~~GUC1A2~~GUCSA2,Guanylate cyclase soluble subunit alpha-2 ~~GCS-alpha-2 ,Homo sapiens (Human),Homo sapiens (Human),17873020
45,Q9NRD0,FBX8_HUMAN,FBXO8,FBXO8~~FBS~~FBX8~~DC10~~UNQ1877~~PRO4320,F-box only protein 8 ~~F-box/SEC7 protein FBS,P62330,ARF6_HUMAN,ARF6,ARF6,ADP-ribosylation factor 6,Homo sapiens (Human),Homo sapiens (Human),18094045
46,Q96T88,UHRF1_HUMAN,UHRF1,UHRF1~~ICBP90~~NP95~~RNF106,E3 ubiquitin-protein ligase UHRF1 ~~Inverted CCAAT box-binding protein of 90 kDa~~Nuclear protein 95~~Nuclear zinc finger protein Np95~~HuNp95~~hNp95~~RING finger protein 106~~RING-type E3 ubiquitin transferase UHRF1~~Transcription factor ICBP90~~Ubiquitin-like PHD and RING finger domain-containing protein 1~~hUHRF1~~Ubiquitin-like-containing PHD and RING finger domains protein 1,P68431,H31_HUMAN,H3C1,H3C1~~H3FA~~HIST1H3A;~~H3C2~~H3FL~~HIST1H3B;~~H3C3~~H3FC~~HIST1H3C;~~H3C4~~H3FB~~HIST1H3D;~~H3C6~~H3FD~~HIST1H3E;~~H3C7~~H3FI~~HIST1H3F;~~H3C8~~H3FH~~HIST1H3G;~~H3C10~~H3FK~~HIST1H3H;~~H3C11~~H3FF~~HIST1H3I;~~H3C12~~H3FJ~~HIST1H3J,Histone H3.1 ~~Histone H3/a~~Histone H3/b~~Histone H3/c~~Histone H3/d~~Histone H3/f~~Histone H3/h~~Histone H3/i~~Histone H3/j~~Histone H3/k~~Histone H3/l,Homo sapiens (Human),Homo sapiens (Human),17967883
47,Q86Y13,DZIP3_HUMAN,DZIP3,DZIP3~~KIAA0675,E3 ubiquitin-protein ligase DZIP3 ~~DAZ-interacting protein 3~~RING-type E3 ubiquitin transferase DZIP3~~RNA-binding ubiquitin ligase of 138 kDa~~hRUL138,P04908,H2A1B_HUMAN,H2AC4,H2AC4~~H2AFM~~HIST1H2AB;~~H2AC8~~H2AFA~~HIST1H2AE,Histone H2A type 1-B/E ~~Histone H2A.2~~Histone H2A/a~~Histone H2A/m,Homo sapiens (Human),Homo sapiens (Human),18206970
48,Q9Y4K3,TRAF6_HUMAN,TRAF6,TRAF6~~RNF85,TNF receptor-associated factor 6 ~~E3 ubiquitin-protein ligase TRAF6~~Interleukin-1 signal transducer~~RING finger protein 85~~RING-type E3 ubiquitin transferase TRAF6,P51617,IRAK1_HUMAN,IRAK1,IRAK1~~IRAK,Interleukin-1 receptor-associated kinase 1 ~~IRAK-1 ,Homo sapiens (Human),Homo sapiens (Human),18347055
49,P78317,RNF4_HUMAN,RNF4,RNF4~~SNURF~~RES4-26,E3 ubiquitin-protein ligase RNF4 ~~RING finger protein 4~~RING-type E3 ubiquitin transferase RNF4~~Small nuclear ring finger protein~~Protein SNURF,P61956,SUMO2_HUMAN,SUMO2,SUMO2~~SMT3B~~SMT3H2,Small ubiquitin-related modifier 2 ~~SUMO-2~~HSMT3~~SMT3 homolog 2~~SUMO-3~~Sentrin-2~~Ubiquitin-like protein SMT3B~~Smt3B,Homo sapiens (Human),Homo sapiens (Human),18408734
50,Q8WZ73,RFFL_HUMAN,RFFL,RFFL~~RNF189~~RNF34L,E3 ubiquitin-protein ligase rififylin ~~Caspase regulator CARP2~~Caspases-8 and -10-associated RING finger protein 2~~CARP-2~~FYVE-RING finger protein Sakura~~Fring~~RING finger and FYVE-like domain-containing protein 1~~RING finger protein 189~~RING finger protein 34-like~~RING-type E3 ubiquitin transferase rififylin,Q13546,RIPK1_HUMAN,RIPK1,RIPK1~~RIP~~RIP1,Receptor-interacting serine/threonine-protein kinase 1 ~~Cell death protein RIP~~Receptor-interacting protein 1~~RIP-1,Homo sapiens (Human),Homo sapiens (Human),18450452
51,Q00987,MDM2_HUMAN,MDM2,MDM2,E3 ubiquitin-protein ligase Mdm2 ~~Double minute 2 protein~~Hdm2~~Oncoprotein Mdm2~~RING-type E3 ubiquitin transferase Mdm2~~p53-binding protein Mdm2,P00374,DYR_HUMAN,DHFR,DHFR,Dihydrofolate reductase ,Homo sapiens (Human),Homo sapiens (Human),18451149
52,Q9UM11,FZR1_HUMAN,FZR1,FZR1~~CDH1~~FYR~~FZR~~KIAA1242,Fizzy-related protein homolog ~~Fzr~~CDC20-like protein 1~~Cdh1/Hct1 homolog~~hCDH1,P20248,CCNA2_HUMAN,CCNA2,CCNA2~~CCN1~~CCNA,Cyclin-A2 ~~Cyclin-A~~Cyclin A,Homo sapiens (Human),Homo sapiens (Human),18485873
53,Q9UM11,FZR1_HUMAN,FZR1,FZR1~~CDH1~~FYR~~FZR~~KIAA1242,Fizzy-related protein homolog ~~Fzr~~CDC20-like protein 1~~Cdh1/Hct1 homolog~~hCDH1,O95997,PTTG1_HUMAN,PTTG1,PTTG1~~EAP1~~PTTG~~TUTR1,Securin ~~Esp1-associated protein~~Pituitary tumor-transforming gene 1 protein~~Tumor-transforming protein 1~~hPTTG,Homo sapiens (Human),Homo sapiens (Human),18485873
54,P46934,NEDD4_HUMAN,NEDD4,NEDD4~~KIAA0093~~NEDD4-1~~PIG53,E3 ubiquitin-protein ligase NEDD4 ~~Cell proliferation-inducing gene 53 protein~~HECT-type E3 ubiquitin transferase NEDD4~~Neural precursor cell expressed developmentally down-regulated protein 4~~NEDD-4,Q9BSA4,TTYH2_HUMAN,TTYH2,TTYH2~~C17orf29,Protein tweety homolog 2 ~~hTTY2,Homo sapiens (Human),Homo sapiens (Human),18577513
